time,total_bandwidth_usage,cpu,bw,n_users,qos
2024-05-18 11:01:57.874000128,8.15,2000.0,15.0,5.0,1.6300000000000001
2024-05-18 11:01:58.874000128,8.48,2000.0,15.0,5.0,1.6960000000000002
2024-05-18 11:01:59.874000128,8.291,2000.0,15.0,5.0,1.6582000000000001
2024-05-18 11:02:00.874000128,8.311,2000.0,15.0,5.0,1.6622
2024-05-18 11:02:01.874000128,7.745,2000.0,15.0,5.0,1.549
2024-05-18 11:02:02.874000128,8.635,2000.0,15.0,5.0,1.7269999999999999
2024-05-18 11:02:03.874000128,9.8,2000.0,15.0,5.0,1.9600000000000002
2024-05-18 11:02:04.874000128,12.28,2000.0,15.0,5.0,2.456
2024-05-18 11:02:05.874000128,12.93,2000.0,15.0,5.0,2.586
2024-05-18 11:02:06.874000128,11.26,2000.0,15.0,5.0,2.252
2024-05-18 11:02:07.874000128,11.854,2000.0,15.0,5.0,2.3708
2024-05-18 11:02:08.874000128,12.934,2000.0,15.0,5.0,2.5867999999999998
2024-05-18 11:02:09.874000128,12.2,2000.0,15.0,5.0,2.44
2024-05-18 11:02:10.874000128,11.25,2000.0,15.0,5.0,2.25
2024-05-18 11:02:11.874000128,12.299,2000.0,15.0,5.0,2.4598
2024-05-18 11:02:12.874000128,12.639,2000.0,15.0,5.0,2.5278
2024-05-18 11:02:13.874000128,12.76,2000.0,15.0,5.0,2.552
2024-05-18 11:02:14.874000128,12.76,2000.0,15.0,5.0,2.552
2024-05-18 11:02:15.874000128,12.471,2000.0,15.0,5.0,2.4942
2024-05-18 11:02:16.874000128,12.471,2000.0,15.0,5.0,2.4942
2024-05-18 11:02:17.874000128,12.33,2000.0,15.0,5.0,2.466
2024-05-18 11:02:18.874000128,11.71,2000.0,15.0,5.0,2.342
2024-05-18 11:02:19.874000128,11.68,2000.0,15.0,5.0,2.336
2024-05-18 11:02:20.874000128,13.4,2000.0,15.0,5.0,2.68
2024-05-18 11:02:21.874000128,11.81,2000.0,15.0,5.0,2.362
2024-05-18 11:02:22.874000128,11.07,2000.0,15.0,5.0,2.214
2024-05-18 11:02:23.874000128,12.34,2000.0,15.0,5.0,2.468
2024-05-18 11:02:24.874000128,12.72,2000.0,15.0,5.0,2.544
2024-05-18 11:02:25.874000128,12.45,2000.0,15.0,5.0,2.4899999999999998
2024-05-18 11:02:26.874000128,12.24,2000.0,15.0,5.0,2.448
2024-05-18 11:02:27.874000128,11.71,2000.0,15.0,5.0,2.342
2024-05-18 11:02:28.874000128,12.67,2000.0,15.0,5.0,2.534
2024-05-18 11:02:29.874000128,12.694,2000.0,15.0,5.0,2.5388
2024-05-18 11:02:30.874000128,12.114,2000.0,15.0,5.0,2.4228
2024-05-18 11:02:31.874000128,11.88,2000.0,15.0,5.0,2.3760000000000003
2024-05-18 11:02:32.874000128,11.9,2000.0,15.0,5.0,2.38
2024-05-18 11:02:33.874000128,11.85,2000.0,15.0,5.0,2.37
2024-05-18 11:02:34.874000128,12.09,2000.0,15.0,5.0,2.418
2024-05-18 11:02:35.874000128,12.73,2000.0,15.0,5.0,2.5460000000000003
2024-05-18 11:02:36.874000128,12.79,2000.0,15.0,5.0,2.558
2024-05-18 11:02:37.874000128,11.83,2000.0,15.0,5.0,2.366
2024-05-18 11:02:38.874000128,11.62,2000.0,15.0,5.0,2.324
2024-05-18 11:02:39.874000128,11.98,2000.0,15.0,5.0,2.396
2024-05-18 11:02:40.874000128,11.5,2000.0,15.0,5.0,2.3
2024-05-18 11:02:41.874000128,13.2,2000.0,15.0,5.0,2.6399999999999997
2024-05-18 11:02:42.874000128,12.86,2000.0,15.0,5.0,2.572
2024-05-18 11:02:43.874000128,12.4,2000.0,15.0,5.0,2.48
2024-05-18 11:02:44.874000128,12.51,2000.0,15.0,5.0,2.502
2024-05-18 11:02:45.874000128,11.79,2000.0,15.0,5.0,2.3579999999999997
2024-05-18 11:02:46.874000128,12.24,2000.0,15.0,5.0,2.448
2024-05-18 11:02:47.874000128,12.09,2000.0,15.0,5.0,2.418
2024-05-18 11:02:48.874000128,12.12,2000.0,15.0,5.0,2.424
2024-05-18 11:02:49.874000128,12.11,2000.0,15.0,5.0,2.4219999999999997
2024-05-18 11:02:50.874000128,11.93,2000.0,15.0,5.0,2.386
2024-05-18 11:02:51.874000128,11.69,2000.0,15.0,5.0,2.338
2024-05-18 11:02:52.874000128,12.29,2000.0,15.0,5.0,2.4579999999999997
2024-05-18 11:02:53.874000128,11.59,2000.0,15.0,5.0,2.318
2024-05-18 11:02:54.874000128,12.59,2000.0,15.0,5.0,2.518
2024-05-18 11:02:55.874000128,12.55,2000.0,15.0,5.0,2.5100000000000002
2024-05-18 11:02:56.874000128,11.88,2000.0,15.0,5.0,2.3760000000000003
2024-05-18 11:02:57.874000128,12.16,2000.0,15.0,5.0,2.432
2024-05-18 11:02:58.874000128,12.24,2000.0,15.0,5.0,2.448
2024-05-18 11:02:59.874000128,12.12,2000.0,15.0,5.0,2.424
2024-05-18 11:03:00.874000128,12.5,2000.0,15.0,5.0,2.5
